,mean,mean,count,count
regime,RISK-OFF,RISK-ON,RISK-OFF,RISK-ON
signal,,,,
composite,-0.10015373431715859,0.0908298752194808,2,18
low_vol,-0.006761223881775552,0.12651182156208163,2,18
mom20,-0.12007933162206542,0.04813902204011216,2,18
mom5,-0.03674601087158606,0.023487203233022495,2,18
mom60_riskadj,-0.0021868495981416797,0.010867327129979497,2,18
mom60_skip5,-0.01636470087580391,0.013692181599851784,2,18
near_high,-0.06837867635304233,0.11590979881305448,2,18
squeeze,-0.056340644142486164,0.10133774850880188,2,18
squeeze_own,-0.04345526325911369,-0.0033766148830824913,2,18
vol_5_50,0.001309318255002627,0.05306887492642725,2,18
vol_ratio,0.001230743263338914,0.05708848382268889,2,18
vs_sma20,-0.06172188511327988,0.053969881730677724,2,18
vs_sma50,-0.07586170206672146,0.06573281143574833,2,18
